Transaction_ID,Items
T101,"Milk,Bread,Butter,Diapers"
T102,"Bread,Butter,Nutella"
T103,"Milk,Diapers,Beer,Eggs"
T104,"Milk,Bread,Butter,Diapers,Beer"
T105,"Bread,Butter"
T106,"Milk,Diapers,Beer"
T107,"Milk,Bread,Butter"
T108,"Bread,Nutella,Coffee"
T109,"Milk,Diapers,Beer,Eggs"
T110,"Bread,Butter,Diapers"
T111,"Milk,Bread,Butter,Coffee"
T112,"Milk,Diapers,Beer"
T113,"Bread,Butter,Nutella,Coffee"
T114,"Milk,Bread,Diapers,Beer"
T115,"Milk,Bread,Butter,Diapers"
T116,"Bread,Butter,Coffee"
T117,"Milk,Diapers,Beer,Eggs"
T118,"Milk,Bread,Butter,Nutella"
T119,"Bread,Butter,Diapers"
T120,"Milk,Diapers,Beer"
