Transaction_ID,Date,Items
T1001,2026-08-01,"Beer,Diapers,Snacks"
T1002,2026-08-01,"Beer,Diapers"
T1003,2026-08-01,"Beer,Diapers,Milk"
T1004,2026-08-01,"Beer,Diapers,Snacks"
T1005,2026-08-01,"Beer,Diapers"
T1006,2026-08-02,"Beer,Diapers"
T1007,2026-08-02,"Beer,Diapers,Wine"
T1008,2026-08-02,"Beer,Diapers,Snacks"
T1009,2026-08-02,"Beer,Diapers"
T1010,2026-08-02,"Beer,Diapers"
T1011,2026-08-03,"Bread,Butter,Milk"
T1012,2026-08-03,"Coffee,Nutella"
T1013,2026-08-03,"Eggs,Milk,Bread,Butter"
T1014,2026-08-04,"Wine,Cheese"
T1015,2026-08-04,"Bread,Butter"
T1016,2026-08-04,"Coffee,Nutella,Milk"
T1017,2026-08-05,"Eggs,Bread,Butter"
T1018,2026-08-05,"Milk,Bread,Butter"
T1019,2026-08-06,"Wine,Cheese,Bread"
T1020,2026-08-06,"Coffee,Nutella,Bread,Butter"
T1021,2026-08-07,"Milk,Eggs"
T1022,2026-08-07,"Bread,Butter"
T1023,2026-08-08,"Beer,Diapers,Snacks"
T1024,2026-08-08,"Beer,Diapers"
T1025,2026-08-08,"Beer,Diapers"
T1026,2026-08-08,"Beer,Diapers,Snacks"
T1027,2026-08-08,"Beer,Diapers,Milk"
T1028,2026-08-08,"Beer,Diapers"
T1029,2026-08-09,"Beer,Diapers,Snacks"
T1030,2026-08-09,"Beer,Diapers"
T1031,2026-08-09,"Beer,Diapers"
T1032,2026-08-09,"Beer,Diapers,Snacks"
T1033,2026-08-09,"Beer,Diapers"
T1034,2026-08-10,"Bread,Butter,Milk"
T1035,2026-08-10,"Coffee,Nutella"
T1036,2026-08-10,"Eggs,Bread,Butter"
T1037,2026-08-11,"Wine,Cheese"
T1038,2026-08-11,"Coffee,Nutella"
T1039,2026-08-12,"Bread,Butter"
T1040,2026-08-12,"Milk,Eggs"
T1041,2026-08-01,"Beer,Diapers,Snacks"
T1042,2026-08-01,"Beer,Diapers"
T1043,2026-08-02,"Beer,Diapers,Milk"
T1044,2026-08-02,"Beer,Diapers"
T1045,2026-08-08,"Beer,Diapers,Snacks"
T1046,2026-08-08,"Beer,Diapers"
T1047,2026-08-09,"Beer,Diapers,Wine"
T1048,2026-08-09,"Beer,Diapers"
T1049,2026-08-03,"Bread,Butter"
T1050,2026-08-04,"Coffee,Nutella"
T1051,2026-08-05,"Wine,Cheese"
T1052,2026-08-06,"Bread,Butter,Milk"
T1053,2026-08-07,"Coffee,Nutella"
T1054,2026-08-10,"Eggs,Milk"
T1055,2026-08-11,"Bread,Butter"
T1056,2026-08-12,"Wine,Cheese"
T1057,2026-08-01,"Beer,Diapers"
T1058,2026-08-02,"Beer,Diapers,Snacks"
T1059,2026-08-08,"Beer,Diapers"
T1060,2026-08-09,"Beer,Diapers,Snacks"
T1061,2026-08-03,"Bread,Butter"
T1062,2026-08-04,"Coffee,Nutella"
T1063,2026-08-05,"Bread,Butter"
T1064,2026-08-06,"Coffee,Nutella"
T1065,2026-08-07,"Wine,Cheese"
T1066,2026-08-10,"Bread,Butter"
T1067,2026-08-11,"Coffee,Nutella"
T1068,2026-08-12,"Bread,Butter"
T1069,2026-08-01,"Beer,Diapers"
T1070,2026-08-02,"Beer,Diapers"
T1071,2026-08-08,"Beer,Diapers"
T1072,2026-08-09,"Beer,Diapers"
T1073,2026-08-03,"Coffee,Nutella"
T1074,2026-08-04,"Bread,Butter"
T1075,2026-08-05,"Coffee,Nutella"
